chrom	start	end	Gene
chr1	981918	984117	PERM1
chr1	999138	1001337	HES4
chr1	999973	1002172	HES4
chr1	1018120	1020319	AGRN
chr1	1246523	1248722	C1QTNF12
chr1	1273665	1275864	UBE2J2
chr1	1309410	1311609	INTS11
chr1	1312367	1314566	INTS11
chr1	1322756	1324955	INTS11
chr1	1324488	1326687	INTS11
chr1	1361578	1363777	MXRA8
chr1	1418245	1420444	ANKRD65
chr1	1421570	1423769	ANKRD65
chr1	1540425	1542624	TMEM240
chr1	1658813	1661012	SLC35E2B
chr1	1692596	1694795	SLC35E2B
chr1	1889223	1891422	GNB1
chr1	2003638	2005837	CFAP74
chr1	2184190	2186389	FAAP20
chr1	2389775	2391974	RER1
chr1	2391508	2393707	RER1
chr1	3855267	3857466	DFFB
chr1	3857197	3859396	DFFB
chr1	6203475	6205674	RPL22
chr1	6205581	6207780	RPL22
chr1	6209190	6211389	RPL22
chr1	6422776	6424975	HES2
chr1	6424471	6426670	HES2
chr1	6611731	6613930	KLHL21
chr1	6614408	6616607	KLHL21
chr1	7782291	7784490	PER3
chr1	7827143	7829342	PER3
chr1	7853313	7855512	UTS2
chr1	7952291	7954490	PARK7
chr1	8024738	8026937	ERRFI1
chr1	8026110	8028309	ERRFI1
chr1	8422645	8424844	RERE
chr1	8511720	8513919	RERE
chr1	9080696	9082895	SLC2A5
chr1	9088279	9090478	SLC2A5
chr1	10428102	10430301	CENPS-CORT
chr1	10428433	10430632	CENPS-CORT
chr1	10448031	10450230	CENPS-CORT
chr1	11655586	11657785	FBXO44
chr1	11662200	11664399	FBXO44
chr1	11689710	11691909	MAD2L2
chr1	11691612	11693811	MAD2L2
chr1	11734084	11736283	AGTRAP
chr1	11804096	11806295	CLCN6
chr1	11806256	11808455	CLCN6
chr1	11839017	11841216	CLCN6
chr1	11848146	11850345	NPPA
chr1	11978181	11980380	MFN2
chr1	12789397	12791596	PRAMEF1
chr1	13313581	13315780	PRAMEF15
chr1	13387632	13389831	PRAMEF17
chr1	13581465	13583664	PDPN
chr1	13698188	13700387	PRDM2
chr1	13890792	13892991	KAZN
chr1	14419774	14421973	KAZN
chr1	15150532	15152731	TMEM51
chr1	15153419	15155618	TMEM51
chr1	15171118	15173317	TMEM51
chr1	15343677	15345876	FHAD1
chr1	15436442	15438641	CTRC
chr1	15524813	15527012	DNAJC16
chr1	15526335	15528534	DNAJC16
chr1	15540165	15542364	DNAJC16
chr1	15754607	15756806	FBLIM1
chr1	15809149	15811348	UQCRHL
chr1	15975933	15978132	ZBTB17
chr1	16002236	16004435	SRARP
chr1	16016875	16019074	HSPB7
chr1	16019395	16021594	HSPB7
chr1	16437225	16439424	SPATA21
chr1	16613363	16615562	NBPF1
chr1	17011729	17013928	ATP13A2
chr1	19310326	19312525	SLC66A1
chr1	19311945	19314144	SLC66A1
chr1	19482403	19484602	CAPZB
chr1	19485340	19487539	CAPZB
chr1	19594979	19597178	MICOS10
chr1	19596633	19598832	MICOS10
chr1	19606114	19608313	MICOS10
chr1	19594979	19597178	MICOS10-NBL1
chr1	19596633	19598832	MICOS10-NBL1
chr1	19606114	19608313	MICOS10-NBL1
chr1	19638554	19640753	MICOS10-NBL1
chr1	19638554	19640753	NBL1
chr1	19923418	19925617	PLA2G2E
chr1	19980217	19982416	PLA2G2A
chr1	20651994	20654193	DDOST
chr1	20661345	20663544	DDOST
chr1	20717818	20720017	KIF17
chr1	20717818	20720017	SH2D5
chr1	20732638	20734837	SH2D5
chr1	20988233	20990432	EIF4G3
chr1	21264082	21266281	ECE1
chr1	21291290	21293489	ECE1
chr1	21345373	21347572	ECE1
chr1	21438128	21440327	NBPF3
chr1	21981606	21983805	CELA3B
chr1	22708839	22711038	EPHB2
chr1	22717517	22719716	EPHB2
chr1	22863027	22865226	EPHB2
chr1	23017443	23019642	KDM1A
chr1	23018901	23021100	KDM1A
chr1	23042305	23044504	KDM1A
chr1	24321702	24323901	GRHL3
chr1	24413802	24416001	STPG1
chr1	24413802	24416001	NIPAL3
chr1	24416735	24418934	NIPAL3
chr1	24919217	24921416	RUNX3
chr1	24959345	24961544	RUNX3
chr1	24964922	24967121	RUNX3
chr1	25270393	25272592	RSRP1
chr1	25336317	25338516	RSRP1
chr1	25338014	25340213	RSRP1
chr1	25428858	25431057	RHCE
chr1	25429993	25432192	RHCE
chr1	25428858	25431057	MACO1
chr1	25429993	25432192	MACO1
chr1	25859259	25861458	AUNIP
chr1	25906255	25908454	STMN1
chr1	26045919	26048118	SLC30A2
chr1	26109165	26111364	PDIK1L
chr1	26167908	26170107	ZNF593OS
chr1	26168764	26170963	ZNF593OS
chr1	26171633	26173832	ZNF593OS
chr1	26359881	26362080	ZNF683
chr1	26430282	26432481	DHDDS
chr1	26467815	26470014	DHDDS
chr1	26470440	26472639	DHDDS
chr1	26470440	26472639	HMGN2
chr1	26691236	26693435	ARID1A
chr1	26693932	26696131	ARID1A
chr1	26898238	26900437	NUDC
chr1	26900268	26902467	NUDC
chr1	26913776	26915975	NUDC
chr1	27320145	27322344	TMEM222
chr1	27323219	27325418	TMEM222
chr1	27340020	27342219	SYTL1
chr1	27870543	27872742	THEMIS2
chr1	28193737	28195936	PTAFR
chr1	28503943	28506142	RCC1
chr1	28503980	28506179	RCC1
chr1	28505366	28507565	RCC1
chr1	28506559	28508758	RCC1
chr1	28551085	28553284	TRNAU1AP
chr1	28590200	28592399	RAB42
chr1	28734621	28736820	YTHDF2
chr1	29221933	29224132	MECR
chr1	29230743	29232942	MECR
chr1	31294982	31297181	ZCCHC17
chr1	31296589	31298788	ZCCHC17
chr1	31376651	31378850	FABP3
chr1	31407565	31409764	SERINC2
chr1	31574485	31576684	TINAGL1
chr1	31577699	31579898	TINAGL1
chr1	31758536	31760735	ADGRB2
chr1	32219077	32221276	TMEM234
chr1	32222160	32224359	TMEM234
chr1	32351454	32353653	TSSK3
chr1	32901239	32903438	TMEM54
chr1	32964610	32966809	RNF19B
chr1	33079104	33081303	AZIN2
chr1	33080797	33082996	AZIN2
chr1	33320899	33323098	A3GALT2
chr1	33470645	33472844	ZSCAN20
chr1	33858475	33860674	CSMD2
chr1	33866953	33869152	CSMD2
chr1	34164883	34167082	CSMD2
chr1	34165643	34167842	CSMD2
chr1	33858475	33860674	HMGB4
chr1	34164883	34167082	C1orf94
chr1	34165643	34167842	C1orf94
chr1	34753047	34755246	GJB5
chr1	34757740	34759939	GJB5
chr1	35555473	35557672	NCDN
chr1	35557751	35559950	NCDN
chr1	35718695	35720894	CLSPN
chr1	35769779	35771978	CLSPN
chr1	35867808	35870007	AGO1
chr1	36153579	36155778	TRAPPC3
chr1	36155854	36158053	TRAPPC3
chr1	36155854	36158053	MAP7D1
chr1	36323955	36326154	EVA1B
chr1	36418379	36420578	OSCP1
chr1	36450252	36452451	OSCP1
chr1	36464185	36466384	CSF3R
chr1	36483079	36485278	CSF3R
chr1	37500795	37502994	MEAF6
chr1	37514567	37516766	MEAF6
chr1	37690481	37692680	C1orf109
chr1	37764934	37767133	EPHA10
chr1	37804979	37807178	C1orf122
chr1	37808009	37810208	C1orf122
chr1	37859393	37861592	INPP5B
chr1	37946858	37949057	INPP5B
chr1	38873169	38875368	GJA9-MYCBP
chr1	38874295	38876494	GJA9-MYCBP
chr1	38881388	38883587	GJA9-MYCBP
chr1	38881418	38883617	GJA9-MYCBP
chr1	39024318	39026517	NDUFS5
chr1	39559499	39561698	PABPC4
chr1	39563052	39565251	PABPC4
chr1	39567309	39569508	PABPC4
chr1	39576591	39578790	PABPC4
chr1	39690182	39692381	PPIE
chr1	39691286	39693485	PPIE
chr1	39771149	39773348	OXCT2
chr1	39883312	39885511	TRIT1
chr1	39895745	39897944	MYCL
chr1	39953112	39955311	MFSD2A
chr1	40038233	40040432	CAP1
