Chr,Start,End,q values,Description,negLogQ,Chromosome_num
chr1,16666761,28781645,1.38e-18,1p36.11,17.860120913598763,1
chr1,1,23549970,7.78e-11,---,10.10902040301031,1
chr1,56202184,118877972,0.10736,---,0.9691574971750831,1
chr1,204477622,220287854,0.17853,---,0.7482887950155431,1
chr2,234758443,242951149,8.74e-07,2q37.3,6.058488567365597,2
chr2,141666036,141705031,0.0023869,LRP1B,2.622165775529451,2
chr3,117999463,118098130,0.00071826,3q13.31 ,3.143718318813792,3
chr3,75428992,76088380,0.0015444,3p12.3 ,2.8112402070479883,3
chr3,1,9517825,0.0018321,---,2.737050825284472,3
chr4,182346394,182458181,2.2e-31,4q34.3 ,30.657577319177793,4
chr4,89731957,117654338,1.83e-09,4q23,8.73754891026957,4
chr5,98113022,128318712,1.84e-06,---,5.735182176990463,5
chr5,157456144,174032432,0.012106,---,1.9169993304234667,5
chr5,56048896,58137258,4.14e-40,5q11.2,39.3829996588791,5
chr5,66419415,74667916,2.17e-49,5q13.1,48.66354026615147,5
chr5,72837342,91535142,2.8300000000000002e-36,---,35.54821356447571,5
chr6,162134880,170899992,2.58e-19,6q27,18.58838029403677,6
chr6,57457872,58401277,8.86e-05,PRIM2,4.052566278112949,6
chr6,92485304,127156139,0.031102,---,1.5072116829655708,6
chr7,1,11326655,6.66e-11,7p22.2,10.176525770829699,7
chr8,24626766,27130684,3.48e-09,8p21.2,8.45842075605342,8
chr8,1,1980242,1.09e-14,8p23.3 ,13.962573502059376,8
chr9,1,1928214,0.12243,---,0.9121121505070666,9
chr9,21695931,22087399,0.13367,CDKN2A,0.8739660519481871,9
chr9,130213304,140273252,0.0058828,---,2.2304159162518284,9
chr10,89701287,89711736,5.41e-11,PTEN,10.26680273489343,10
chr10,98060886,135374737,0.11458,---,0.9408911820864062,10
chr11,1,4068254,1.3e-09,11p15.5,8.886056647693163,11
chr11,102218055,134452384,0.0077945,---,2.1082117386156862,11
chr12,74257132,132349534,0.021784,---,1.6618623716680918,12
chr13,47887859,47909134,9.32e-18,RB1,17.03058408764602,13
chr13,1,22945560,0.00029618,---,3.5284442712128365,13
chr14,52629784,73351045,0.037481,---,1.4261888305727246,14
chr15,39198601,40261082,2.39e-17,15q15.1,16.621602099051863,15
chr15,1,30715295,1.17e-10,---,9.931814138253838,15
chr16,77190685,77350206,6.49e-06,WWOX,5.187755303199631,16
chr16,58138115,67646882,0.11458,---,0.9408911820864062,16
chr16,87965263,88055649,1.16e-05,ANKRD11,4.935542010773082,16
chr16,3604846,3860541,0.062341,CREBBP,1.2052262355689853,16
chr17,21144429,21206026,2.57e-27,MAP2K3,26.590066876668704,17
chr17,26532345,26568338,2.46e-09,NF1,8.60906489289662,17
chr17,11851332,11897247,0.027182,MAP2K4,1.5657185918636989,17
chr18,69617510,76117153,1.61e-11,18q23,10.79317412396815,18
chr19,63736798,63811651,8.72e-06,---,5.059483515067432,19
chr19,1264798,4426322,2.98e-57,19p13.3,56.525783735923746,19
chr19,1,306931,3.03e-56,19p13.3,55.51855737149769,19
chr19,45712960,55025072,0.042749,---,1.3690740399898775,19
chr21,41501909,46944323,0.041643,---,1.3804579910607782,21
chr21,1,23298229,0.00010327,---,3.986025822979084,21
chr22,49443563,49691432,1.01e-39,22q13.33,38.995678626217355,22
