Chromosome,Wide peak start,Wide peak end,amp/del,2q3,Wide Peak Limits,Peak Limits,Region Limits,q values,Residual q values after removing segments shared with higher peaks,Description with number,Description,Comment,Unnamed: 13,Deep Del,Shallow Del,Neutral,Low Gain,High Gain,% Deep Del,% Shallow Del,% Neutral,% Low Gain,% High Gain,n_genes,Genes
chr1,39109153,41523062,Amp,1p34.2  ,chr1:39109153-41523062(probes 13414:14406)        ,chr1:40147908-40163891(probes 13846:13850)        ,chr1:35030929-47199294(probes 11995:16640)        ,1.2800000000000001e-21,6.5e-16,1p34.2(MYCL1) [41],1p34.2(MYCL1),,,0,50,212,172,55,0.0%,10.2%,43.4%,35.2%,11.2%,41,"NFYC(0.66),CAP1(0.65),CTPS(0.64),PPIE(0.63),TRIT1(0.62),RLF(0.61),NDUFS5(0.61),MYCBP(0.59),ZMPSTE24(0.58),SCMH1(0.58),ZNF684(0.54),PPT1(0.53),ZNF642(0.53),PABPC4(0.49),ZNF643(0.48),MACF1(0.47),MYCL1#(0.45),KIAA0754(0.38),RIMS3(0.36),CITED4(0.31),RHBDL2(0.30),COL9A2(0.28),SLFNL1(0.28),BMP8A(0.22),OXCT2(0.18),KCNQ4(0.17),HPCAL4(0.14),TMCO2(0.11),BMP8B(0.09),HEYL(0.06),NT5C1A(0.03),GJA9(0.02),SMAP2(NA),DEM1(NA),AKIRIN1(NA),MFSD2A(NA),MIR30C1(NA),MIR30E(NA),SNORA55(NA),LOC728448(NA),LOC100130557(NA),"
chr1,148646436,149486905,Amp,1q21.2  ,chr1:148646436-149486905(probes 40536:40894)    ,chr1:148763510-148774271(probes 40592:40595)    ,chr1:120326822-155749474(probes 39953:43393)    ,5.19e-18,1.45e-13,1q21.2(MCL1) [28],1q21.2(MCL1),,,0,5,174,255,55,0.0%,1.0%,35.6%,52.1%,11.2%,28,"SETDB1(0.60),ARNT(0.59),TARS2(0.58),VPS72(0.58),GOLPH3L(0.56),PRUNE(0.56),PIP5K1A(0.54),LYSMD1(0.54),ENSA(0.54),SCNM1(0.52),LASS2(0.52),CDC42SE1(0.37),MCL1(0.36),FAM63A(0.36),SEMA6C(0.33),HORMAD1(0.27),BNIPL(0.21),MLLT11(0.19),TMOD4(0.17),ANXA9(0.12),CTSS(0.11),ADAMTSL4(0.11),GABPB2(0.03),TNFAIP8L2(-0.01),CTSK(-0.04),ECM1(-0.06),RPRD2(NA),C1orf56(NA),"
chr1,232526850,233617929,Amp,1q42.3  ,chr1:232526850-233617929(probes 69591:69901)    ,chr1:232793249-232816284(probes 69693:69701)    ,chr1:226774332-240477863(probes 67548:72503)    ,8.67e-07,3.94e-05,1q42.3(IRF2BP2) [10],1q42.3(IRF2BP2),,,0,48,180,233,28,0.0%,9.8%,36.8%,47.6%,5.7%,10,"ARID4B(0.66),RBM34(0.64),GGPS1(0.61),TBCE(0.61),TOMM20(0.57),IRF2BP2(0.54),TARBP1(0.53),SLC35F3(0.24),C1orf31(NA),SNORA14B(NA),"
chr1,154088696,154329131,Amp,1q22    ,chr1:154088696-154329131(probes 42674:42791)    ,chr1:154151308-154154318(probes 42703:42703)    ,chr1:120326822-155749474(probes 39953:43393)    ,3.88e-09,0.0015454,---,---,,,0,9,164,279,37,0.0%,1.8%,33.5%,57.1%,7.6%,13,"GON4L(0.53),UBQLN4(0.48),SSR2(0.48),RIT1(0.40),ARHGEF2(0.40),KIAA0907(0.38),SYT11(0.25),RAB25^#(0.24),MEX3A(0.21),RXFP4(0.06),ROBLD3(NA),SCARNA4(NA),SNORA42(NA),"
chr1,36338557,36480225,Amp,1p34.3  ,chr1:36338557-36480225(probes 12533:12582)        ,chr1:36418988-36436889(probes 12569:12571)        ,chr1:35030929-47199294(probes 11995:16640)        ,2.12e-11,0.003696,1p34.3 [3],1p34.3,,,0,74,217,161,37,0.0%,15.1%,44.4%,32.9%,7.6%,3,"TRAPPC3(0.61),MAP7D1(0.44),THRAP3(0.37),"
chr1,178780208,178854243,Amp,1q25.3  ,chr1:178780208-178854243(probes 51968:51993)    ,chr1:178819532-178827490(probes 51985:51986)    ,chr1:178609363-179102235(probes 51898:52083)    ,0.0014628,0.019701,XPR1 [0],XPR1,,,0,16,195,255,20,0.0%,3.3%,40.1%,52.5%,4.1%,0,[XPR1(0.19502)]
chr1,241440102,247249719,Amp,1q44    ,chr1:241440102-247249719(probes 72690:74689)    ,chr1:242548125-242552725(probes 73148:73148)    ,chr1:241442092-247249719(probes 72691:74689)    ,0.00049851,0.020376,---,---,,AKT3,0,56,181,226,26,0.0%,11.5%,37.0%,46.2%,5.3%,76,"AHCTF1(0.67),SH3BP5L(0.64),ZNF669(0.63),ADSS(0.61),TFB2M(0.57),SDCCAG8(0.54),ZNF672(0.52),FAM36A(0.52),ZNF496(0.52),HNRNPU(0.50),ZNF692(0.48),SCCPDH(0.46),ZNF124(0.45),SMYD3(0.42),ZNF695(0.41),CEP170(0.41),ZNF670(0.40),EFCAB2(0.39),PGBD2(0.38),TRIM58(0.35),ZNF238(0.26),OR2W3(0.26),OR2L2(0.24),OR2T8(0.21),OR2L3(0.21),OR2AK2(0.20),OR2L8(0.20),AKT3|(0.17),OR2M2(0.10),OR2L13(0.09),LOC149134(0.08),OR6F1(0.08),VN1R5(0.08),OR2T12(0.08),OR13G1(0.07),OR2T10(0.07),OR2G3(0.06),OR2T27(0.05),KIF26B(0.05),OR2T1(0.04),OR2T2(0.04),OR2M4(0.03),OR2C3(0.02),OR2W5(0.02),OR2T5(0.02),OR2T29(0.01),OR2M3(0.01),OR2G6(0.00),OR2M5(-0.00),OR2B11(-0.00),OR2G2(-0.01),OR11L1(-0.01),OR2T34(-0.01),OR1C1(-0.01),NLRP3(-0.02),OR2T11(-0.02),OR2T4(-0.04),OR2M7(-0.04),OR2L1P(NA),PPPDE1(NA),OR14C36(NA),C1orf150(NA),LOC148824(NA),CNST(NA),C1orf100(NA),OR2T6(NA),C1orf101(NA),OR14A16(NA),NCRNA00201(NA),OR2T3(NA),C1orf229(NA),OR2M1P(NA),OR2T33(NA),OR14I1(NA),OR2T35(NA),LOC646627(NA),"
chr1,1095521,1467046,Amp,1p36.33 ,chr1:1095521-1467046(probes 66:118)                 ,chr1:1156340-1160598(probes 92:92)                  ,chr1:1-1528108(probes 1:138)                         ,0.017056,0.020376,1p36.33(AURKAIP1) [28],1p36.33(AURKAIP1),,,1,148,146,176,18,0.2%,30.3%,29.9%,36.0%,3.7%,28,"MRPL20(0.63),CPSF3L(0.63),AURKAIP1(0.62),SDF4(0.61),UBE2J2(0.60),CCNL2(0.59),DVL1(0.59),B3GALT6(0.56),ATAD3A(0.56),SSU72(0.54),PUSL1(0.52),LOC148413(0.50),ATAD3B(0.45),VWA1(0.40),FAM132A(0.23),TTLL10(0.21),SCNN1D(0.20),ATAD3C(0.15),TAS1R3(0.12),MXRA8(0.04),TNFRSF18(0.00),TNFRSF4(-0.08),GLTPD1(NA),ACAP3(NA),C1orf70(NA),LOC441869(NA),TMEM88B(NA),LOC100128842(NA),"
chr1,16666761,28781645,Del,1p36.11 ,chr1:16666761-28781645(probes 5267:9889)          ,chr1:26959798-26995763(probes 9107:9125)          ,chr1:1-32928159(probes 1:11197)                     ,1.38e-18,5.78e-12,1p36.11 [188],1p36.11,,,0,192,202,89,6,0.0%,39.3%,41.3%,18.2%,1.2%,188,"USP48(0.68),DHDDS(0.63),HP1BP3(0.62),PPP1R8(0.62),KIAA0090(0.62),GPATCH3(0.61),SYF2(0.60),DNAJC8(0.60),CAPZB(0.59),NUDC(0.59),PNRC2(0.58),HMGCL(0.58),EIF4G3(0.57),RPA2(0.57),WDTC1(0.56),FAM54B(0.56),TCEB3(0.56),LYPLA2(0.55),CCDC21(0.55),CDC42(0.55),TMEM50A(0.54),EYA3(0.53),DDOST(0.53),ATPIF1(0.52),WASF2(0.52),MRTO4(0.52),SRRM1(0.52),ZNF436(0.51),RCC2(0.51),PINK1(0.50),RPL11(0.50),CROCCL1(0.49),ARID1A(0.49),PHACTR4(0.49),RCAN3(0.49),UBR4(0.49),PDIK1L(0.49),CNKSR1(0.49),LDLRAP1(0.48),AKR7A2(0.48),TMCO4(0.48),XKR8(0.46),SDHB(0.46),ZDHHC18(0.46),GALE(0.46),AHDC1(0.46),FUCA1(0.46),SH3BGRL3(0.45),STX12(0.45),ZBTB40(0.44),HMGN2(0.44),NBPF1(0.44),PIGV(0.43),ZNF593(0.43),SNHG3-RCC1(0.43),ALDH4A1(0.43),PAFAH2(0.43),ATP13A2(0.42),RPS6KA1(0.42),ECE1(0.40),E2F2(0.40),TMEM57(0.40),LUZP1(0.39),NBPF3(0.39),PAQR7(0.39),RHCE(0.39),OTUD3(0.37),CLIC4(0.37),HNRNPR(0.37),AKR7A3(0.37),PQLC2(0.36),SLC9A1(0.36),IL28RA(0.36),STMN1(0.36),RAP1GAP(0.36),SMPDL3B(0.35),CROCCL2(0.35),SESN2(0.35),MED18(0.34),MAP3K6(0.33),EPHB2(0.31),TCEA3(0.30),HSPG2(0.30),IFI6(0.28),SYTL1(0.28),AIM1L(0.27),SEPN1(0.26),ARHGEF10L(0.25),RHD(0.25),MSTP9(0.24),MYOM3(0.21),CROCC(0.21),FAM46B(0.21),PADI2(0.20),IL22RA1(0.19),MFAP2(0.19),GRHL3(0.16),NBL1(0.15),TRIM63(0.14),ALPL(0.12),PTAFR(0.11),SFN(0.11),IGSF21(0.10),SH2D5(0.10),FGR(0.09),GPR3(0.08),KIF17(0.08),CATSPER4(0.07),CD164L2(0.07),HTR1D(0.07),RUNX3(0.06),ID3(0.06),FCN3(0.05),CD52(0.05),NR0B2(0.05),C1QA(0.05),EXTL1(0.04),LDLRAD2(0.04),PLA2G2F(0.04),FAM43B(0.04),C1QB(0.04),CDA(0.04),MAN1C1(0.04),ZNF683(0.03),PLA2G5(0.03),CNR2(0.03),PADI4(0.03),C1QC(0.02),GRRP1(0.02),RCC1(0.02),LIN28(0.02),PLA2G2A(0.01),SLC30A2(0.01),WNT4(0.00),PADI3(-0.01),PLA2G2D(-0.01),EPHA8(-0.01),CAMK2N1(-0.01),PADI1(-0.03),ACTL8(-0.05),PADI6(-0.05),TAS1R2(-0.06),PLA2G2E(-0.07),RNF186(-0.07),HTR6(-0.07),KLHDC7A(-0.08),PAX7(-0.09),SNHG3(NA),C1orf38(NA),CELA3A(NA),SFRS13A(NA),MSTP2(NA),KDM1A(NA),CELA3B(NA),HSPC157(NA),GPN2(NA),TRNAU1AP(NA),ASAP3(NA),C1orf63(NA),C1orf128(NA),NIPAL3(NA),C1orf135(NA),MUL1(NA),TMEM222(NA),SNHG12(NA),C1orf201(NA),UBXN11(NA),C1orf172(NA),IFFO2(NA),VWA5B1(NA),UBXN10(NA),C1orf213(NA),FAM76A(NA),AKR7L(NA),MDS2(NA),LOC284632(NA),ESPNP(NA),TRNP1(NA),PLA2G2C(NA),C1orf130(NA),C1orf151(NA),LOC646471(NA),LOC653566(NA),SCARNA1(NA),SNORA44(NA),SNORA61(NA),SNORA16A(NA),SNORD99(NA),"
chr1,1,23549970,Del,1p36.33 ,chr1:1-23549970(probes 1:7782)                      ,chr1:1702579-1778335(probes 162:190)                ,chr1:1-32928159(probes 1:11197)                     ,7.78e-11,0.002816,---,---,,,2,170,181,127,9,0.4%,34.8%,37.0%,26.0%,1.8%,327,"FBXO42(0.71),DNAJC16(0.69),EXOSC10(0.68),KIAA0562(0.68),USP48(0.68),RSC1A1(0.66),GNB1(0.66),LRRC47(0.66),WDR8(0.65),PHF13(0.65),NOL9(0.65),UBE4B(0.65),PARK7(0.64),ICMT(0.64),PANK4(0.64),MRPL20(0.63),CPSF3L(0.63),PEX14(0.63),RER1(0.63),HP1BP3(0.62),KIAA0090(0.62),AURKAIP1(0.62),DFFA(0.62),MFN2(0.61),ZBTB48(0.61),SDF4(0.61),PLEKHM2(0.61),LZIC(0.61),CLCN6(0.60),DNAJC11(0.60),UBE2J2(0.60),CAPZB(0.59),DFFB(0.59),CDC2L2(0.59),NADK(0.59),NOC2L(0.59),CCNL2(0.59),DVL1(0.59),CASP9(0.58),EIF4G3(0.57),B3GALT6(0.56),KIAA0495(0.56),ATAD3A(0.56),KIF1B(0.56),DDI2(0.55),CDC42(0.55),VAMP3(0.55),NPHP4(0.54),PRDM2(0.54),ENO1(0.54),SLC25A33(0.54),SSU72(0.54),DDOST(0.53),CLSTN1(0.53),ZBTB17(0.53),APITD1(0.53),SLC35E2(0.52),PUSL1(0.52),MRTO4(0.52),NECAP2(0.52),KLHL21(0.51),RCC2(0.51),PINK1(0.50),THAP3(0.50),NMNAT1(0.50),KIAA2013(0.50),LOC148413(0.50),PRKCZ(0.50),PEX10(0.50),RPL22(0.50),CAMTA1(0.50),CROCCL1(0.49),CTNNBIP1(0.49),UBR4(0.49),AKR7A2(0.48),TMCO4(0.48),SPEN(0.47),AGTRAP(0.47),RERE(0.47),SDHB(0.46),UBIAD1(0.45),ATAD3B(0.45),ZBTB40(0.44),ARHGEF16(0.44),MIB2(0.44),NBPF1(0.44),PGD(0.43),ALDH4A1(0.43),KIAA1026(0.43),PLEKHG5(0.43),ATP13A2(0.42),MTHFR(0.42),PLOD1(0.42),VPS13D(0.42),MAD2L2(0.41),FBXO44(0.41),TARDBP(0.40),ECE1(0.40),VWA1(0.40),EFHD2(0.40),LUZP1(0.39),SRM(0.39),NBPF3(0.39),TMEM51(0.38),H6PD(0.38),AGRN(0.38),OTUD3(0.37),HNRNPR(0.37),SKI(0.37),AKR7A3(0.37),PQLC2(0.36),RAP1GAP(0.36),CROCCL2(0.35),TNFRSF25(0.34),ARHGEF19(0.32),EPHB2(0.31),ACOT7(0.31),PER3(0.31),PIK3CD(0.30),HSPG2(0.30),SPSB1(0.29),GPR157(0.29),FBXO6(0.27),EPHA2(0.27),AGMAT(0.26),RNF207(0.25),ARHGEF10L(0.25),CASZ1(0.25),MSTP9(0.24),FAM132A(0.23),DHRS3(0.22),MORN1(0.22),ERRFI1(0.22),FBXO2(0.22),ESPN(0.21),TTLL10(0.21),CROCC(0.21),MMP23B(0.21),MEGF6(0.21),PADI2(0.20),SCNN1D(0.20),ISG15(0.20),TNFRSF14(0.19),TAS1R1(0.19),PLEKHN1(0.19),MFAP2(0.19),KCNAB2(0.18),SAMD11(0.17),FBLIM1(0.16),CALML6(0.16),TMEM52(0.16),ATAD3C(0.15),SLC45A1(0.15),MMEL1(0.15),NBL1(0.15),MASP2(0.14),TNFRSF1B(0.14),RBP7(0.14),HES4(0.14),FHAD1(0.14),ALPL(0.12),CLCNKA(0.12),TAS1R3(0.12),CLCNKB(0.11),HES2(0.11),IGSF21(0.10),SH2D5(0.10),FAM131C(0.10),ANGPTL7(0.10),SLC2A5(0.09),KIAA1751(0.09),KIF17(0.08),HES5(0.08),AJAP1(0.07),KLHL17(0.07),HTR1D(0.07),SLC2A7(0.06),HSPB7(0.06),PDPN(0.06),AADACL4(0.05),PLCH2(0.05),UTS2(0.05),C1QA(0.05),PRAMEF9(0.05),LDLRAD2(0.04),PLA2G2F(0.04),PRAMEF2(0.04),ACTRT2(0.04),FAM43B(0.04),MXRA8(0.04),C1QB(0.04),CHD5(0.04),CDA(0.04),TNFRSF8(0.04),CA6(0.04),PLA2G5(0.03),TNFRSF9(0.03),PADI4(0.03),NPPB(0.02),C1QC(0.02),NPPA(0.02),GPR153(0.02),PRAMEF10(0.01),PLA2G2A(0.01),TNFRSF18(0.00),WNT4(0.00),SLC25A34(0.00),SPATA21(-0.00),TMEM82(-0.01),PADI3(-0.01),GABRD(-0.01),PLA2G2D(-0.01),EPHA8(-0.01),CAMK2N1(-0.01),PRAMEF12(-0.02),PRDM16(-0.03),PRAMEF8(-0.03),PADI1(-0.03),PTCHD2(-0.04),CCDC27(-0.04),PRAMEF16(-0.04),CORT(-0.04),CTRC(-0.04),HES3(-0.05),ACTL8(-0.05),PADI6(-0.05),AADACL3(-0.05),PRAMEF1(-0.06),TAS1R2(-0.06),PLA2G2E(-0.07),FAM138F(-0.07),RNF186(-0.07),TP73(-0.07),HTR6(-0.07),TNFRSF4(-0.08),KLHDC7A(-0.08),PAX7(-0.09),CDC2L1(NA),MTOR(NA),MMP23A(NA),CELA3A(NA),MSTP2(NA),KDM1A(NA),CELA3B(NA),C1orf144(NA),OR4F3(NA),HSPC157(NA),CELA2B(NA),C1orf159(NA),MIIP(NA),CELA2A(NA),C1orf89(NA),OR4F5(NA),MUL1(NA),NCRNA00115(NA),GLTPD1(NA),OR4F16(NA),C1orf170(NA),C1orf158(NA),LOC115110(NA),ACAP3(NA),IFFO2(NA),TPRG1L(NA),C1orf93(NA),VWA5B1(NA),UBXN10(NA),C1orf127(NA),C1orf64(NA),TMEM201(NA),C1orf86(NA),C1orf126(NA),AKR7L(NA),FAM41C(NA),LOC284661(NA),ESPNP(NA),C1orf174(NA),C1orf70(NA),PRAMEF5(NA),HNRNPCL1(NA),C1orf187(NA),LOC388588(NA),PRAMEF21(NA),PRAMEF18(NA),PRAMEF17(NA),PLA2G2C(NA),PRAMEF4(NA),PRAMEF13(NA),PRAMEF3(NA),MIR200A(NA),MIR200B(NA),MIR34A(NA),FLJ42875(NA),PRAMEF11(NA),PRAMEF6(NA),LOC440563(NA),UQCRHL(NA),C1orf151(NA),LOC441869(NA),PRAMEF7(NA),MIR429(NA),LOC643837(NA),TMEM88B(NA),C1orf200(NA),PRAMEF19(NA),PRAMEF20(NA),FAM138A(NA),LOC649330(NA),PRAMEF22(NA),PRAMEF15(NA),WASH5P(NA),FAM138C(NA),SNORA59B(NA),SNORA59A(NA),MIR551A(NA),LOC728661(NA),PRAMEF14(NA),FLJ37453(NA),OR4F29(NA),LOC100128003(NA),LOC100128842(NA),LOC100129534(NA),FLJ39609(NA),LOC100132062(NA),LOC100132287(NA),LOC100133331(NA),LOC100133612(NA),LOC100288778(NA),"
